id_fonte;pais_codigo;ano;genero;taxa_prevalencia
;;2010;SEX_BTSX;12.01
;;2012;SEX_FMLE;3.89
;;2007;SEX_MLE;12.73
;;2015;SEX_MLE;16.7
;;2013;SEX_BTSX;8.5
;;2003;SEX_FMLE;2.59
;;2009;SEX_MLE;5.52
;;2014;SEX_FMLE;7.36
;;2014;SEX_BTSX;13.6
;;2008;SEX_BTSX;13.88
;;2002;SEX_MLE;61.11
;;2021;SEX_MLE;31.68
;;2020;SEX_FMLE;6.49
;;2008;SEX_FMLE;6.07
;;2017;SEX_BTSX;3.5
;;2011;SEX_MLE;23.48
;;2007;SEX_MLE;5.67
;;2017;SEX_FMLE;2.81
;;2001;SEX_FMLE;1.9
;;2020;SEX_BTSX;0.81
;;2001;SEX_FMLE;8.4
;;2013;SEX_MLE;14.25
;;2016;SEX_FMLE;4.57
;;2003;SEX_BTSX;5.38
;;2014;SEX_FMLE;1.27
;;2011;SEX_MLE;53.27
;;2005;SEX_FMLE;6.72
;;2020;SEX_FMLE;5.0
;;2018;SEX_MLE;12.54
;;2016;SEX_BTSX;12.48
;;2002;SEX_BTSX;4.51
;;2006;SEX_MLE;8.38
;;2018;SEX_FMLE;0.69
;;2013;SEX_FMLE;4.03
;;2012;SEX_FMLE;5.51
;;2004;SEX_FMLE;8.06
;;2004;SEX_BTSX;14.88
;;2006;SEX_MLE;8.8
;;2021;SEX_FMLE;4.13
;;2001;SEX_MLE;21.55
;;2020;SEX_BTSX;1.7
;;2018;SEX_BTSX;13.44
;;2016;SEX_MLE;32.84
;;2021;SEX_BTSX;4.62
;;2014;SEX_BTSX;21.38
;;2019;SEX_BTSX;15.3
;;2015;SEX_BTSX;7.41
;;2017;SEX_FMLE;4.47
;;2020;SEX_FMLE;1.91
;;2016;SEX_BTSX;0.72
;;2009;SEX_FMLE;0.77
;;2000;SEX_MLE;2.81
;;2003;SEX_FMLE;0.78
;;2008;SEX_FMLE;5.19
;;2005;SEX_MLE;3.01
;;2008;SEX_MLE;56.13
;;2003;SEX_FMLE;10.53
;;2011;SEX_BTSX;28.69
;;2008;SEX_FMLE;5.7
;;2001;SEX_BTSX;6.55
;;2013;SEX_MLE;11.61
;;2016;SEX_MLE;22.87
;;2014;SEX_BTSX;21.51
;;2009;SEX_FMLE;4.25
;;2018;SEX_MLE;25.87
;;2003;SEX_BTSX;13.21
;;2008;SEX_BTSX;8.88
;;2015;SEX_MLE;17.22
;;2010;SEX_BTSX;24.17
;;2015;SEX_BTSX;12.14
;;2015;SEX_FMLE;13.41
;;2010;SEX_MLE;7.18
;;2004;SEX_MLE;1.5
;;2021;SEX_BTSX;4.35
;;2012;SEX_BTSX;1.16
;;2000;SEX_MLE;2.25
;;2001;SEX_MLE;4.82
;;2007;SEX_BTSX;12.74
;;2015;SEX_MLE;24.15
;;2015;SEX_MLE;19.99
;;2010;SEX_BTSX;11.1
;;2008;SEX_BTSX;7.25
;;2017;SEX_FMLE;4.4
;;2019;SEX_BTSX;10.33
;;2002;SEX_FMLE;1.48
;;2013;SEX_BTSX;18.56
;;2007;SEX_FMLE;4.74
;;2009;SEX_BTSX;6.02
;;2005;SEX_MLE;20.01
;;2018;SEX_MLE;3.93
;;2010;SEX_BTSX;19.15
;;2015;SEX_MLE;12.39
;;2000;SEX_FMLE;1.16
;;2000;SEX_MLE;24.92
;;2015;SEX_MLE;9.98
;;2006;SEX_MLE;4.68
;;2019;SEX_FMLE;1.84
;;2004;SEX_FMLE;6.85
;;2011;SEX_MLE;24.48
;;2001;SEX_BTSX;15.35
;;2000;SEX_BTSX;7.86
;;2005;SEX_BTSX;15.66
;;2010;SEX_FMLE;7.91
;;2017;SEX_MLE;0.58
;;2021;SEX_BTSX;15.79
;;2019;SEX_FMLE;6.65
;;2008;SEX_FMLE;1.73
;;2007;SEX_MLE;53.11
;;2016;SEX_MLE;9.29
;;2004;SEX_MLE;7.04
;;2007;SEX_FMLE;6.3
;;2007;SEX_BTSX;10.56
;;2003;SEX_BTSX;34.92
;;2000;SEX_FMLE;3.61
;;2002;SEX_FMLE;5.26
;;2015;SEX_BTSX;8.37
;;2002;SEX_FMLE;10.39
;;2008;SEX_MLE;14.39
;;2021;SEX_FMLE;1.81
;;2016;SEX_MLE;7.56
;;2003;SEX_BTSX;20.38
;;2007;SEX_MLE;7.29
;;2016;SEX_MLE;15.07
;;2006;SEX_BTSX;3.29
;;2006;SEX_BTSX;15.78
;;2014;SEX_FMLE;3.7
;;2015;SEX_MLE;13.3
;;2011;SEX_BTSX;6.49
;;2013;SEX_BTSX;5.42
;;2019;SEX_BTSX;33.26
;;2002;SEX_FMLE;9.75
;;2010;SEX_MLE;21.38
;;2006;SEX_MLE;13.53
;;2005;SEX_BTSX;12.77
;;2008;SEX_FMLE;3.85
;;2006;SEX_MLE;20.19
;;2001;SEX_MLE;63.1
;;2001;SEX_MLE;23.21
;;2005;SEX_MLE;2.92
;;2001;SEX_FMLE;11.9
;;2007;SEX_BTSX;9.43
;;2013;SEX_FMLE;15.3
;;2009;SEX_MLE;6.94
;;2005;SEX_FMLE;3.54
;;2000;SEX_BTSX;7.5
;;2001;SEX_FMLE;11.49
;;2007;SEX_MLE;24.02
;;2000;SEX_MLE;16.5
;;2008;SEX_BTSX;13.82
;;2003;SEX_MLE;22.34
;;2013;SEX_BTSX;10.39
;;2013;SEX_FMLE;4.38
;;2010;SEX_FMLE;5.77
;;2010;SEX_MLE;14.06
;;2013;SEX_MLE;35.08
;;2020;SEX_BTSX;20.37
;;2014;SEX_FMLE;2.74
;;2010;SEX_MLE;2.69
;;2003;SEX_MLE;23.96
;;2010;SEX_FMLE;0.56
;;2005;SEX_MLE;16.6
;;2018;SEX_MLE;20.05
;;2013;SEX_MLE;11.88
;;2012;SEX_FMLE;1.05
;;2008;SEX_MLE;12.85
;;2004;SEX_BTSX;13.3
;;2009;SEX_MLE;18.35
;;2020;SEX_BTSX;11.68
;;2008;SEX_MLE;18.27
;;2015;SEX_MLE;17.69
